DENSITY,GLASNO,SIO2,AL2O3,B2O3,CAO,K2O,NA2O,Li2O,MgO,ZRO2,FemOn,"Somme (Si, B, Na, Ca, Al, Zr, K, Li, Mg, Fe)"
2.67,142705,50.37,30.5,0,7.85,0,0,0,11.27,0,0,99.99
2.66,142706,48.77,35.45,0,6.42,0,0,0,9.34,0,0,99.98
2.37,3408,83.3,0,0,0,0,16.7,0,0,0,0,100
2.76,8142,61.64,0,0,38.35,0,0,0,0,0,0,99.99
2.72,8143,59.31,8.38,0,32.29,0,0,0,0,0,0,99.98
2.67,8144,57.15,16.16,0,26.67,0,0,0,0,0,0,99.98
2.65,8145,55.93,20.56,0,23.49,0,0,0,0,0,0,99.98
2.63,8146,55.15,23.39,0,21.44,0,0,0,0,0,0,99.98
2.61,8147,54.01,27.49,0,18.48,0,0,0,0,0,0,99.98
2.6,8148,53.28,30.14,0,16.57,0,0,0,0,0,0,99.99
2.6,8149,54.99,30.1,0,14.9,0,0,0,0,0,0,99.99
2.6,8150,51.53,36.43,0,12.02,0,0,0,0,0,0,99.98
2.6,8151,49.89,42.33,0,7.76,0,0,0,0,0,0,99.98
2.88,8152,50.44,5.49,0,44.05,0,0,0,0,0,0,99.98
2.87,8153,50.01,7.33,0,42.64,0,0,0,0,0,0,99.98
2.86,8154,49.47,9.51,0,41.01,0,0,0,0,0,0,99.99
2.85,8155,49.16,10.99,0,39.83,0,0,0,0,0,0,99.98
2.83,8156,48.74,12.82,0,38.43,0,0,0,0,0,0,99.99
2.81,8157,47.88,16.48,0,35.63,0,0,0,0,0,0,99.99
2.77,8158,46.22,22.4,0,31.37,0,0,0,0,0,0,99.99
2.76,8159,45.92,24.93,0,29.14,0,0,0,0,0,0,99.99
2.74,8160,45.31,27.51,0,27.16,0,0,0,0,0,0,99.98
2.72,8161,42.74,31.19,0,26.06,0,0,0,0,0,0,99.99
2.69,8162,42.88,37.11,0,19.99,0,0,0,0,0,0,99.98
2.69,8163,41.69,39.56,0,18.74,0,0,0,0,0,0,99.99
2.69,8164,41.55,42.61,0,15.82,0,0,0,0,0,0,99.98
2.69,8165,40.94,46.31,0,12.74,0,0,0,0,0,0,99.99
2.69,8166,40.27,49.2,0,10.52,0,0,0,0,0,0,99.99
2.47,2628,56.06,0,0,0,43.93,0,0,0,0,0,99.99
2.43,2634,65.67,0,0,0,34.32,0,0,0,0,0,99.99
2.4,2641,71.84,0,0,0,28.15,0,0,0,0,0,99.99
2.37,2647,76.12,0,0,0,23.87,0,0,0,0,0,99.99
2.63,2671,60.42,0,0,18.79,0,20.77,0,0,0,0,99.98
2.55,2672,70.37,0,0,14.07,0,15.55,0,0,0,0,99.99
2.51,2725,70.02,0,0,9.33,0,20.63,0,0,0,0,99.98
1.81,84497,0,0,100,0,0,0,0,0,0,0,100
1.86,84498,0,0,100,0,0,0,0,0,0,0,100
1.8,84499,0,0,100,0,0,0,0,0,0,0,100
1.8,84500,0,0,100,0,0,0,0,0,0,0,100
1.82,84501,0,0,100,0,0,0,0,0,0,0,100
1.82,84502,0,0,100,0,0,0,0,0,0,0,100
1.83,84503,0,0,100,0,0,0,0,0,0,0,100
2.87,7660,53.54,0,0,37.47,0,0,0,8.97,0,0,99.98
2.84,7661,55.49,0,0,25.89,0,0,0,18.61,0,0,99.99
2.43,8648,70.75,0,0,0,0,18.24,10.99,0,0,0,99.98
2.31,8705,84.46,0,0,0,0,0,15.53,0,0,0,99.99
2.33,8708,82.43,0,0,0,0,0,17.56,0,0,0,99.99
2.33,8606,86.64,0,0,0,0,13.35,0,0,0,0,99.99
2.32,8725,85.72,0,0,0,3.08,11.18,0,0,0,0,99.98
2.32,8726,84.83,0,0,0,6.11,9.05,0,0,0,0,99.99
2.33,8727,83.95,0,0,0,9.07,6.96,0,0,0,0,99.98
2.33,8728,83.09,0,0,0,11.97,4.92,0,0,0,0,99.98
2.33,8729,82.25,0,0,0,14.82,2.92,0,0,0,0,99.99
2.33,8730,81.02,0,0,0,18.97,0,0,0,0,0,99.99
2.35,8731,83.57,0,0,0,0,16.42,0,0,0,0,99.99
2.35,8732,82.69,0,0,0,3.08,14.21,0,0,0,0,99.98
2.35,8733,81.83,0,0,0,6.1,12.05,0,0,0,0,99.98
2.36,8734,80.98,0,0,0,9.06,9.94,0,0,0,0,99.98
2.36,8735,80.15,0,0,0,11.96,7.87,0,0,0,0,99.98
2.36,8736,78.54,0,0,0,17.59,3.85,0,0,0,0,99.98
2.36,8737,77,0,0,0,22.99,0,0,0,0,0,99.99
2.44,8738,66,0,0,0,0,33.99,0,0,0,0,99.99
2.42,8739,69.8,0,0,0,0,24.83,5.36,0,0,0,99.99
2.39,8740,72.35,0,0,0,0,18.68,8.95,0,0,0,99.98
2.38,8741,74.38,0,0,0,0,13.8,11.81,0,0,0,99.99
2.36,8742,76.19,0,0,0,0,9.42,14.37,0,0,0,99.98
2.35,8743,78.1,0,0,0,0,4.83,17.06,0,0,0,99.99
2.31,8744,80.1,0,0,0,0,0,19.89,0,0,0,99.99
2.33,8745,81.02,0,0,0,18.97,0,0,0,0,0,99.99
2.31,8746,85.27,0,0,0,12.29,0,2.43,0,0,0,99.99
2.3,8747,87.09,0,0,0,9.41,0,3.48,0,0,0,99.98
2.28,8748,89,0,0,0,6.41,0,4.57,0,0,0,99.98
2.23,8749,94.85,0,0,0,0,5.14,0,0,0,0,99.99
2.24,8750,94.34,0,0,0,1.55,4.09,0,0,0,0,99.98
2.24,8751,93.84,0,0,0,3.09,3.05,0,0,0,0,99.98
2.25,8752,93.35,0,0,0,4.62,2.02,0,0,0,0,99.99
2.25,8753,92.86,0,0,0,6.12,1,0,0,0,0,99.98
2.25,8754,92.37,0,0,0,7.62,0,0,0,0,0,99.99
2.32,8755,86.64,0,0,0,0,13.35,0,0,0,0,99.99
2.32,8756,85.72,0,0,0,3.08,11.18,0,0,0,0,99.98
2.33,8757,84.83,0,0,0,6.11,9.05,0,0,0,0,99.99
2.33,8758,83.95,0,0,0,9.07,6.96,0,0,0,0,99.98
2.33,8759,83.09,0,0,0,11.97,4.92,0,0,0,0,99.98
2.34,8760,82.25,0,0,0,14.82,2.92,0,0,0,0,99.99
2.32,8761,81.02,0,0,0,18.97,0,0,0,0,0,99.99
2.69,121963,45,30,0,15,0,0,0,10,0,0,100
2.73,121964,45,30,0,15,0,0,0,10,0,0,100
2.77,121965,45,30,0,15,0,0,0,10,0,0,100
2.81,121966,45,30,0,15,0,0,0,10,0,0,100
2.83,121967,45,30,0,15,0,0,0,10,0,0,100
2.86,121968,45,30,0,15,0,0,0,10,0,0,100
2.76,121975,40,30,0,20,0,0,0,10,0,0,100
2.79,121976,40,30,0,20,0,0,0,10,0,0,100
2.81,121977,40,30,0,20,0,0,0,10,0,0,100
2.84,121978,40,30,0,20,0,0,0,10,0,0,100
2.88,121979,40,30,0,20,0,0,0,10,0,0,100
2.88,121980,40,30,0,20,0,0,0,10,0,0,100
2.27,8791,91.93,0,0,0,0,0,8.06,0,0,0,99.99
2.33,8795,84.59,0,0,0,0,15.4,0,0,0,0,99.99
2.33,8799,78.32,0,0,0,21.67,0,0,0,0,0,99.99
2.44,4047,72.72,0,0,0,0,18.21,0,9.05,0,0,99.98
2.44,4048,71.92,0,0,0,3.22,15.89,0,8.95,0,0,99.98
2.43,4049,71.13,0,0,0,6.37,13.62,0,8.86,0,0,99.98
2.44,4050,70.37,0,0,0,9.45,11.4,0,8.76,0,0,99.98
2.44,4051,69.43,0,0,0,13.21,8.69,0,8.64,0,0,99.97
2.43,4052,68.16,0,0,0,18.31,5.02,0,8.49,0,0,99.98
2.43,4053,67.46,0,0,0,21.15,2.98,0,8.4,0,0,99.99
2.41,4054,66.43,0,0,0,25.29,0,0,8.27,0,0,99.99
2.53,4055,70.23,0,0,12.17,0,17.59,0,0,0,0,99.99
2.54,4056,69.48,0,0,12.04,3.11,15.35,0,0,0,0,99.98
2.52,13722,68.75,0,0,11.91,6.15,13.17,0,0,0,0,99.98
2.53,13723,68.03,0,0,11.79,9.14,11.02,0,0,0,0,99.98
2.5,13724,67.16,0,0,11.64,12.78,8.41,0,0,0,0,99.99
2.52,13725,65.97,0,0,11.43,17.73,4.86,0,0,0,0,99.99
2.48,13726,64.34,0,0,11.15,24.49,0,0,0,0,0,99.98
2.46,4313,71.91,0,0,0,0,21.19,0,6.89,0,0,99.99
2.52,4314,70.02,0,0,9.33,0,20.63,0,0,0,0,99.98
2.59,13026,62.52,0,0,11.67,0,25.8,0,0,0,0,99.99
2.59,13028,66.99,0,0,15.67,0,17.32,0,0,0,0,99.98
2.13,4363,24.56,0,66.07,0,0,9.35,0,0,0,0,99.98
2.24,4364,23.29,0,62.62,0,0,14.07,0,0,0,0,99.98
2.29,4365,22.41,0,61.06,0,0,16.51,0,0,0,0,99.98
2.35,4366,22,0,59.15,0,0,18.84,0,0,0,0,99.99
2.44,4367,20.71,0,55.64,0,0,23.63,0,0,0,0,99.98
2.47,4368,19.41,0,52.12,0,0,28.46,0,0,0,0,99.99
2.47,4369,18.09,0,48.56,0,0,33.33,0,0,0,0,99.98
2.17,4370,20.04,0,53.87,0,26.07,0,0,0,0,0,99.98
2.24,4371,18.44,0,49.56,0,31.99,0,0,0,0,0,99.99
2.3,4372,16.9,0,45.4,0,37.68,0,0,0,0,0,99.98
2.37,4373,15.42,0,41.39,0,43.17,0,0,0,0,0,99.98
2.39,4374,13.99,0,37.53,0,48.47,0,0,0,0,0,99.99
2.39,4375,12.6,0,33.79,0,53.59,0,0,0,0,0,99.98
2.41,163443,15.56,0,41.88,0,37.16,5.38,0,0,0,0,99.98
2.43,163444,17.17,0,46.17,0,25.68,10.95,0,0,0,0,99.97
2.44,163445,18.83,0,50.63,0,13.28,17.24,0,0,0,0,99.98
2.26,4447,91.34,0,0,0,0,0,8.65,0,0,0,99.99
2.32,4503,86.64,0,0,0,0,13.35,0,0,0,0,99.99
2.33,4511,85.44,0,0,0,0,13.24,0,0,0,1.31,99.99
2.35,4512,84.25,0,0,0,0,13.13,0,0,0,2.6,99.98
2.39,4513,81.94,0,0,0,0,12.92,0,0,0,5.12,99.98
2.42,4514,79.7,0,0,0,0,12.72,0,0,0,7.56,99.98
2.45,4515,77.54,0,0,0,0,12.52,0,0,0,9.93,99.99
2.47,4516,75.43,0,0,0,0,12.33,0,0,0,12.22,99.98
2.52,4517,71.41,0,0,0,0,11.97,0,0,0,16.6,99.98
2.57,4518,67.63,0,0,0,0,11.62,0,0,0,20.74,99.99
2.61,4519,64.05,0,0,0,0,11.3,0,0,0,24.64,99.99
2.61,4520,58.25,0,0,0,0,10.77,0,0,0,30.96,99.98
2.76,4521,54.43,0,0,0,0,10.42,0,0,0,35.13,99.98
2.32,4569,78.21,0,14.72,0,0,7.05,0,0,0,0,99.98
2.32,4570,77.8,0,14.65,0,1.52,6.01,0,0,0,0,99.98
2.33,4571,77.4,0,14.57,0,3.03,4.99,0,0,0,0,99.99
2.33,4572,77,0,14.49,0,4.52,3.97,0,0,0,0,99.98
2.33,4573,76.6,0,14.42,0,6,2.96,0,0,0,0,99.98
2.33,4574,76.21,0,14.35,0,7.46,1.96,0,0,0,0,99.98
2.33,4575,75.82,0,14.27,0,8.91,0.97,0,0,0,0,99.97
2.33,4576,75.44,0,14.2,0,10.34,0,0,0,0,0,99.98
2.44,145239,72.21,0,14.69,0,0,13.08,0,0,0,0,99.98
2.44,145240,71.83,0,14.62,0,1.52,12.01,0,0,0,0,99.98
2.45,145241,71.46,0,14.54,0,3.02,10.95,0,0,0,0,99.97
2.45,145242,71.09,0,14.47,0,4.51,9.91,0,0,0,0,99.98
2.45,145243,70.73,0,14.39,0,5.99,8.87,0,0,0,0,99.98
2.45,145244,70.37,0,14.32,0,7.45,7.84,0,0,0,0,99.98
2.45,145245,69.66,0,14.18,0,10.33,5.82,0,0,0,0,99.99
2.46,145246,68.62,0,13.96,0,14.53,2.86,0,0,0,0,99.97
2.46,145247,67.61,0,13.76,0,18.62,0,0,0,0,0,99.99
2.48,145248,68.22,0,14.68,0,0,17.09,0,0,0,0,99.99
2.49,145249,67.52,0,14.52,0,3.02,14.92,0,0,0,0,99.98
2.48,145250,66.82,0,14.38,0,5.98,12.8,0,0,0,0,99.98
2.48,145251,66.15,0,14.23,0,8.88,10.72,0,0,0,0,99.98
2.48,145252,65.32,0,14.05,0,12.43,8.18,0,0,0,0,99.98
2.48,145253,64.83,0,13.95,0,14.52,6.68,0,0,0,0,99.98
2.48,145254,64.2,0,13.81,0,17.25,4.73,0,0,0,0,99.99
2.47,145255,62.65,0,13.48,0,23.85,0,0,0,0,0,99.98
2.52,145256,60.28,0,14.64,0,0,25.07,0,0,0,0,99.99
2.51,145257,58.74,0,14.27,0,7.42,19.54,0,0,0,0,99.97
2.5,145258,57.29,0,13.91,0,14.48,14.29,0,0,0,0,99.97
2.51,145259,56.59,0,13.74,0,17.88,11.76,0,0,0,0,99.97
2.5,145260,55.9,0,13.58,0,21.2,9.3,0,0,0,0,99.98
2.5,145261,54.58,0,13.26,0,27.6,4.54,0,0,0,0,99.98
2.48,145262,53.33,0,12.95,0,33.71,0,0,0,0,0,99.99
2.3,4650,86.42,0,0,0,0,0,13.57,0,0,0,99.99
2.34,4651,83.71,0,0,0,0,0,13.32,0,0,2.96,99.99
2.42,4652,81.09,0,0,0,0,0,13.08,0,0,5.82,99.99
2.43,4653,78.57,0,0,0,0,0,12.84,0,0,8.58,99.99
2.59,4654,69.31,0,0,0,0,0,11.99,0,0,18.69,99.99
2.71,4655,63.14,0,0,0,0,0,11.42,0,0,25.43,99.99
2.86,4656,55.78,0,0,0,0,0,10.73,0,0,33.47,99.98
2.9,4657,54.07,0,0,0,0,0,10.58,0,0,35.34,99.99
2.94,4658,52.41,0,0,0,0,0,10.42,0,0,37.15,99.98
2.97,4659,50.81,0,0,0,0,0,10.27,0,0,38.91,99.99
3.01,4660,49.24,0,0,0,0,0,10.13,0,0,40.61,99.98
3.05,4661,47.72,0,0,0,0,0,9.99,0,0,42.28,99.99
3.12,4662,46.24,0,0,0,0,0,9.85,0,0,43.89,99.98
3.15,4663,44.8,0,0,0,0,0,9.72,0,0,45.46,99.98
2.42,4686,70.62,8.61,0,0,0,20.75,0,0,0,0,99.98
2.55,4742,56.08,0,0,0,0,19.27,0,0,0,24.63,99.98
2.55,4743,55.6,0,0,0,0,19.11,0,0,0,25.27,99.98
2.55,4744,55.37,0,0,0,0,19.04,0,0,0,25.58,99.99
2.56,4745,55.17,0,0,0,0,18.96,0,0,0,25.85,99.98
2.54,4746,56.47,0,0,0,0,19.41,0,0,0,24.11,99.99
2.55,4747,57.17,0,0,0,0,19.65,0,0,0,23.16,99.98
1.84,75712,0,0,100,0,0,0,0,0,0,0,100
3.3,5177,24.75,0,0,42.35,0,0,0,0,0,32.89,99.99
3.37,5178,23.9,0,0,39.03,0,0,0,0,0,37.05,99.98
3.45,5179,23.1,0,0,35.94,0,0,0,0,0,40.94,99.98
3.53,5180,22.36,0,0,33.05,0,0,0,0,0,44.58,99.99
3.58,5181,21.66,0,0,30.33,0,0,0,0,0,47.99,99.98
3.67,5182,21.01,0,0,27.78,0,0,0,0,0,51.19,99.98
3.29,5183,34.82,0,0,32.5,0,0,0,0,0,32.66,99.98
3.29,5184,32.82,0,0,34.46,0,0,0,0,0,32.71,99.99
3.3,5185,28.79,0,0,38.39,0,0,0,0,0,32.8,99.98
3.4,5186,30.65,0,0,28.6,0,0,0,0,0,40.73,99.98
3.43,5187,26.89,0,0,32.26,0,0,0,0,0,40.84,99.99
3.46,5188,19.3,0,0,39.64,0,0,0,0,0,41.05,99.99
3.58,5189,26.98,0,0,25.18,0,0,0,0,0,47.82,99.98
3.57,5190,25.22,0,0,26.9,0,0,0,0,0,47.87,99.99
3.19,5191,35.32,0,0,41.2,0,0,0,0,0,23.46,99.98
3.19,5192,39.62,0,0,36.97,0,0,0,0,0,23.4,99.99
3.62,5193,23.74,0,0,22.16,0,0,0,0,0,54.09,99.99
2.32,5327,85.62,0,0,0,0,14.37,0,0,0,0,99.99
2.33,5328,84.71,0,0,0,3.08,12.19,0,0,0,0,99.98
2.34,5329,81.28,0,0,0,14.81,3.89,0,0,0,0,99.98
2.34,5330,79.66,0,0,0,20.33,0,0,0,0,0,99.99
2.33,5331,84.59,0,0,0,0,15.4,0,0,0,0,99.99
2.34,5332,83.26,0,0,0,4.6,12.12,0,0,0,0,99.98
2.35,5333,79.9,0,0,0,16.21,3.87,0,0,0,0,99.98
2.35,5334,78.32,0,0,0,21.67,0,0,0,0,0,99.99
2.34,5335,83.57,0,0,0,0,16.42,0,0,0,0,99.99
2.35,5336,81.83,0,0,0,6.1,12.05,0,0,0,0,99.98
2.36,5337,80.15,0,0,0,11.96,7.87,0,0,0,0,99.98
2.35,5338,77,0,0,0,22.99,0,0,0,0,0,99.99
2.35,5340,82.55,0,0,0,0,17.44,0,0,0,0,99.99
2.35,5341,82.11,0,0,0,1.55,16.32,0,0,0,0,99.98
2.36,5342,77.59,0,0,0,17.58,4.82,0,0,0,0,99.99
2.37,5344,78.77,0,0,0,13.39,7.83,0,0,0,0,99.99
2.37,5345,77.2,0,0,0,18.95,3.83,0,0,0,0,99.98
2.36,5346,75.69,0,0,0,24.3,0,0,0,0,0,99.99
2.36,5347,81.53,0,0,0,0,18.46,0,0,0,0,99.99
2.37,5348,80.67,0,0,0,3.08,16.23,0,0,0,0,99.98
2.37,5349,79,0,0,0,9.06,11.92,0,0,0,0,99.98
2.37,5350,77.4,0,0,0,14.79,7.79,0,0,0,0,99.98
2.38,5351,75.87,0,0,0,20.3,3.81,0,0,0,0,99.98
2.37,5352,74.39,0,0,0,25.6,0,0,0,0,0,99.99
2.37,5353,80.51,0,0,0,0,19.48,0,0,0,0,99.99
2.37,5354,79.25,0,0,0,4.6,16.14,0,0,0,0,99.99
2.38,5355,77.62,0,0,0,10.51,11.86,0,0,0,0,99.99
2.38,5356,76.05,0,0,0,16.19,7.74,0,0,0,0,99.98
2.38,5357,74.55,0,0,0,21.64,3.79,0,0,0,0,99.98
2.37,5358,73.11,0,0,0,26.88,0,0,0,0,0,99.99
2.39,5359,79.49,0,0,0,0,20.5,0,0,0,0,99.99
2.39,5360,77.83,0,0,0,6.1,16.05,0,0,0,0,99.98
2.39,5361,76.24,0,0,0,11.95,11.79,0,0,0,0,99.98
2.39,5362,74.72,0,0,0,17.57,7.7,0,0,0,0,99.99
2.39,5363,73.25,0,0,0,22.96,3.77,0,0,0,0,99.98
2.38,5364,71.84,0,0,0,28.15,0,0,0,0,0,99.99
2.39,5365,78.48,0,0,0,0,21.51,0,0,0,0,99.99
2.4,5366,78.06,0,0,0,1.54,20.38,0,0,0,0,99.98
2.4,5367,77.24,0,0,0,4.59,18.15,0,0,0,0,99.98
2.4,5368,76.44,0,0,0,7.58,15.97,0,0,0,0,99.99
2.41,5369,74.89,0,0,0,13.37,11.73,0,0,0,0,99.99
2.41,5370,73.39,0,0,0,18.93,7.66,0,0,0,0,99.98
2.4,5371,71.96,0,0,0,24.27,3.75,0,0,0,0,99.98
2.39,5372,70.58,0,0,0,29.41,0,0,0,0,0,99.99
2.4,5373,77.46,0,0,0,0,22.53,0,0,0,0,99.99
2.4,5374,76.64,0,0,0,3.08,20.27,0,0,0,0,99.99
2.41,5375,75.06,0,0,0,9.05,15.88,0,0,0,0,99.99
2.41,5376,70.68,0,0,0,25.57,3.73,0,0,0,0,99.98
2.4,5377,69.33,0,0,0,30.66,0,0,0,0,0,99.99
2.41,5378,76.44,0,0,0,0,23.55,0,0,0,0,99.99
2.41,5379,75.24,0,0,0,4.59,20.16,0,0,0,0,99.99
2.41,5380,73.69,0,0,0,10.5,15.79,0,0,0,0,99.98
2.42,5381,70.79,0,0,0,21.62,7.58,0,0,0,0,99.99
2.41,5382,69.42,0,0,0,26.85,3.72,0,0,0,0,99.99
2.4,5383,68.1,0,0,0,31.89,0,0,0,0,0,99.99
2.42,5384,75.42,0,0,0,0,24.57,0,0,0,0,99.99
2.43,5385,73.85,0,0,0,6.09,20.04,0,0,0,0,99.98
2.42,5388,69.51,0,0,0,22.94,7.54,0,0,0,0,99.99
2.43,5389,74.41,0,0,0,0,25.58,0,0,0,0,99.99
2.43,5390,74.01,0,0,0,1.54,24.43,0,0,0,0,99.98
2.3,5394,85.77,0,0,0,0,0,14.22,0,0,0,99.99
2.3,5395,85.71,0,0,0,0,0.14,14.13,0,0,0,99.98
2.31,5396,85.51,0,0,0,0,0.58,13.89,0,0,0,99.98
2.31,5397,85.12,0,0,0,0,1.46,13.4,0,0,0,99.98
2.33,5398,83.85,0,0,0,0,4.32,11.81,0,0,0,99.98
2.36,5399,81.42,0,0,0,0,9.79,8.77,0,0,0,99.98
2.39,5400,79.69,0,0,0,0,13.7,6.6,0,0,0,99.99
2.4,5401,78.03,0,0,0,0,17.44,4.52,0,0,0,99.99
2.42,5402,75.92,0,0,0,0,22.18,1.88,0,0,0,99.98
2.43,5403,74.9,0,0,0,0,24.46,0.62,0,0,0,99.98
2.43,5404,74.61,0,0,0,0,25.14,0.24,0,0,0,99.99
2.43,5405,74.41,0,0,0,0,25.58,0,0,0,0,99.99
2.31,5406,85.25,0,0,0,0.89,0,13.85,0,0,0,99.99
2.31,5407,84.48,0,0,0,2.2,0,13.3,0,0,0,99.98
2.33,5408,82.01,0,0,0,6.42,0,11.55,0,0,0,99.98
2.36,5409,77.48,0,0,0,14.17,0,8.34,0,0,0,99.99
2.38,5410,74.39,0,0,0,19.43,0,6.16,0,0,0,99.98
2.4,5411,71.54,0,0,0,24.3,0,4.15,0,0,0,99.99
2.42,5412,68.07,0,0,0,30.23,0,1.69,0,0,0,99.99
2.41,5413,66.45,0,0,0,32.99,0,0.55,0,0,0,99.99
2.41,5414,65.98,0,0,0,33.79,0,0.21,0,0,0,99.98
2.41,5415,65.75,0,0,0,34.19,0,0.05,0,0,0,99.99
2.41,5416,65.67,0,0,0,34.32,0,0,0,0,0,99.99
2.43,5422,74.36,0,0,0,0.19,25.44,0,0,0,0,99.99
2.43,5423,74.21,0,0,0,0.77,25,0,0,0,0,99.98
2.43,5424,73.92,0,0,0,1.93,24.14,0,0,0,0,99.99
2.43,5425,73.43,0,0,0,3.83,22.72,0,0,0,0,99.98
2.43,5426,72.48,0,0,0,7.57,19.93,0,0,0,0,99.98
2.44,5427,70.65,0,0,0,14.76,14.57,0,0,0,0,99.98
2.43,5428,69.77,0,0,0,18.23,11.99,0,0,0,0,99.99
2.43,5429,68.91,0,0,0,21.6,9.47,0,0,0,0,99.98
2.43,5430,67.25,0,0,0,28.11,4.62,0,0,0,0,99.98
2.42,5431,66.45,0,0,0,31.25,2.28,0,0,0,0,99.98
2.41,5432,66.06,0,0,0,32.79,1.13,0,0,0,0,99.98
2.41,5433,65.83,0,0,0,33.71,0.45,0,0,0,0,99.99
2.45,5473,71.4,0,0,0,0,17.32,0,11.26,0,0,99.98
2.46,5474,70.08,0,0,0,0,18.12,0,11.78,0,0,99.98
2.47,5475,68.76,0,0,0,0,18.92,0,12.3,0,0,99.98
2.49,5476,67.24,0,0,0,0,19.84,0,12.9,0,0,99.98
2.54,5477,68.38,0,0,15.01,0,16.59,0,0,0,0,99.98
2.55,5478,66.99,0,0,15.67,0,17.32,0,0,0,0,99.98
2.56,5479,65.6,0,0,16.33,0,18.05,0,0,0,0,99.98
2.58,5480,64,0,0,17.09,0,18.89,0,0,0,0,99.98
2.2,119704,100,0,0,0,0,0,0,0,0,0,100
2.24,592,95,0,0,0,0,5,0,0,0,0,100
2.29,593,90,0,0,0,0,10,0,0,0,0,100
2.33,595,85.14,0,0,0,0,14.86,0,0,0,0,100
2.38,596,80.45,0,0,0,0,19.55,0,0,0,0,100
2.42,597,75.19,0,0,0,0,24.81,0,0,0,0,100
2.43,598,75,0,0,0,0,25,0,0,0,0,100
2.44,599,72.68,0,0,0,0,27.32,0,0,0,0,100
2.45,600,70.8,0,0,0,0,29.2,0,0,0,0,100
2.49,601,66.14,0,0,0,0,33.86,0,0,0,0,100
2.49,602,64.75,0,0,0,0,35.25,0,0,0,0,100
2.5,603,64.5,0,0,0,0,35.5,0,0,0,0,100
2.51,604,61.49,0,0,0,0,38.51,0,0,0,0,100
2.52,605,60.34,0,0,0,0,39.66,0,0,0,0,100
2.54,606,55.68,0,0,0,0,44.32,0,0,0,0,100
2.56,608,50.8,0,0,0,0,49.2,0,0,0,0,100
2.57,609,47.94,0,0,0,0,52.06,0,0,0,0,100
2.32,611,86.13,0,0,0,0,13.87,0,0,0,0,100
2.36,612,82.05,0,0,0,0,17.95,0,0,0,0,100
2.41,613,77.46,0,0,0,0,22.54,0,0,0,0,100
2.48,614,67.57,0,0,0,0,32.43,0,0,0,0,100
2.74,699,62.66,0,0,37.34,0,0,0,0,0,0,100
2.83,700,57.11,0,0,42.89,0,0,0,0,0,0,100
2.89,701,51.74,0,0,48.26,0,0,0,0,0,0,100
2.91,702,48.8,0,0,51.2,0,0,0,0,0,0,100
2.95,703,44.17,0,0,55.83,0,0,0,0,0,0,100
2.31,5517,90.4,0,0,5.7,0,3.9,0,0,0,0,100
2.31,5518,90,0,0,4,0,6,0,0,0,0,100
2.34,5519,86.1,0,0,3.01,0,10.89,0,0,0,0,100
2.35,5520,86,0,0,6,0,8,0,0,0,0,100
2.38,5521,83.21,0,0,7.58,0,9.21,0,0,0,0,100
2.42,5522,81.8,0,0,11.65,0,6.55,0,0,0,0,100
2.43,5523,78.01,0,0,5.01,0,16.98,0,0,0,0,100
2.45,5524,78,0,0,10,0,12,0,0,0,0,100
2.45,5525,77.06,0,0,8.01,0,14.93,0,0,0,0,100
2.49,5526,76.11,0,0,14.99,0,8.9,0,0,0,0,100
2.48,5527,76.12,0,0,11.03,0,12.85,0,0,0,0,100
2.45,5528,76.1,0,0,5.01,0,18.89,0,0,0,0,100
2.5,5529,75.86,0,0,17.96,0,6.18,0,0,0,0,100
2.46,5530,75.6,0,0,5.76,0,18.64,0,0,0,0,100
2.53,5531,75.29,0,0,20.23,0,4.48,0,0,0,0,100
2.47,5532,75.21,0,0,7.54,0,17.25,0,0,0,0,100
2.47,5533,75,0,0,7.5,0,17.5,0,0,0,0,100
2.48,5534,74.98,0,0,9.98,0,15.04,0,0,0,0,100
2.49,5535,74.96,0,0,11.64,0,13.4,0,0,0,0,100
2.5,5536,74.95,0,0,14.97,0,10.08,0,0,0,0,100
2.48,5537,74.7,0,0,10.1,0,15.2,0,0,0,0,100
2.49,5538,74.69,0,0,10.03,0,15.28,0,0,0,0,100
2.53,5539,74.38,0,0,20.25,0,5.37,0,0,0,0,100
2.53,5540,74.29,0,0,20.25,0,5.46,0,0,0,0,100
2.52,5541,74.25,0,0,20.02,0,5.73,0,0,0,0,100
2.55,5542,70.23,0,0,15,0,14.77,0,0,0,0,100
2.5,5543,70.22,0,0,6.52,0,23.26,0,0,0,0,100
2.49,5544,70.2,0,0,4.94,0,24.86,0,0,0,0,100
2.54,5545,70.01,0,0,14.08,0,15.91,0,0,0,0,100
2.49,5546,69.98,0,0,5.31,0,24.71,0,0,0,0,100
2.5,5547,69.84,0,0,4.61,0,25.55,0,0,0,0,100
2.54,5548,69.77,0,0,13,0,17.23,0,0,0,0,100
2.5,5549,69.2,0,0,5.01,0,25.79,0,0,0,0,100
2.6,5550,69.04,0,0,25.4,0,5.56,0,0,0,0,100
2.54,5551,68.68,0,0,10.78,0,20.54,0,0,0,0,100
2.54,5552,68.26,0,0,10.84,0,20.9,0,0,0,0,100
2.58,5553,68.13,0,0,18.04,0,13.83,0,0,0,0,100
2.52,5554,68.05,0,0,7,0,24.95,0,0,0,0,100
2.54,5555,67.76,0,0,10.14,0,22.1,0,0,0,0,100
