DENSITY,GLASNO,SIO2,AL2O3,B2O3,CAO,K2O,NA2O,Li2O,MgO,ZRO2,FemOn,"Somme (Si, B, Na, Ca, Al, Zr, K, Li, Mg, Fe)"
2.38,20396,73.51,0,14.19,0,10.34,1.94,0,0,0,0,99.98
2.38,20397,73.14,0,14.12,0,11.76,0.96,0,0,0,0,99.98
2.38,20398,72.77,0,14.05,0,13.16,0,0,0,0,0,99.98
2.41,20399,74.21,0,14.7,0,0,11.07,0,0,0,0,99.98
2.42,20400,73.44,0,14.55,0,3.02,8.97,0,0,0,0,99.98
2.43,20401,72.68,0,14.4,0,5.99,6.9,0,0,0,0,99.97
2.43,20402,71.95,0,14.26,0,8.9,4.88,0,0,0,0,99.99
2.43,20403,71.22,0,14.11,0,11.75,2.9,0,0,0,0,99.98
2.42,20404,70.17,0,13.9,0,15.92,0,0,0,0,0,99.99
2.44,20405,72.21,0,14.69,0,0,13.08,0,0,0,0,99.98
2.44,20406,71.83,0,14.62,0,1.52,12.01,0,0,0,0,99.98
2.45,20407,71.46,0,14.54,0,3.02,10.95,0,0,0,0,99.97
2.45,20408,71.09,0,14.47,0,4.51,9.91,0,0,0,0,99.98
2.45,20409,70.73,0,14.39,0,5.99,8.87,0,0,0,0,99.98
2.45,20410,70.37,0,14.32,0,7.45,7.84,0,0,0,0,99.98
2.45,20411,69.66,0,14.18,0,10.33,5.82,0,0,0,0,99.99
2.46,20412,68.62,0,13.96,0,14.53,2.86,0,0,0,0,99.97
2.46,20413,68.28,0,13.89,0,15.91,1.9,0,0,0,0,99.98
2.46,20414,67.61,0,13.76,0,18.62,0,0,0,0,0,99.99
2.13,20415,47.82,0,43.46,0,0,8.7,0,0,0,0,99.98
2.12,20416,47.23,0,42.92,0,3.62,6.2,0,0,0,0,99.97
2.13,20417,46.65,0,42.39,0,7.17,3.77,0,0,0,0,99.98
2.13,20418,46.2,0,41.98,0,9.94,1.86,0,0,0,0,99.98
2.13,20419,45.75,0,41.58,0,12.65,0,0,0,0,0,99.98
2.2,20420,45.92,0,43.43,0,0,10.63,0,0,0,0,99.98
2.2,20421,45.35,0,42.9,0,3.62,8.11,0,0,0,0,99.98
2.21,20422,44.79,0,42.37,0,7.16,5.65,0,0,0,0,99.97
2.21,20423,44.36,0,41.96,0,9.93,3.73,0,0,0,0,99.98
2.2,20424,43.93,0,41.56,0,12.65,1.84,0,0,0,0,99.98
2.19,20425,43.51,0,41.16,0,15.31,0,0,0,0,0,99.98
2.26,20426,44.02,0,43.41,0,0,12.56,0,0,0,0,99.99
2.26,20427,43.58,0,42.98,0,2.9,10.52,0,0,0,0,99.98
2.26,20428,43.15,0,42.55,0,5.75,8.52,0,0,0,0,99.97
2.26,20429,42.73,0,42.14,0,8.55,6.56,0,0,0,0,99.98
2.25,20430,42.32,0,41.73,0,11.29,4.64,0,0,0,0,99.98
2.24,20431,41.71,0,41.14,0,15.3,1.83,0,0,0,0,99.98
2.24,20432,41.32,0,40.75,0,17.92,0,0,0,0,0,99.99
