DENSITY,Num,Origin,Year,Somme Ox,Al2O3,B2O3,BaO,CaO,Fe2O3,K2O,Li2O,MgO,Na2O,SiO2,SrO,ZrO2
1.86,781,VERA,1979,184.71,15.51,90,0,42.64,0,0,0,0,0,36.56,0,0
3.8,410009,SCIGLASS,1992,175.37,0,60.22,0,0,0,0,35.07,0,0,80.08,0,0
5.51,670,VERA,1968,137.19,14.74,43.48,1.17,0.85,0,0,4.31,0,13.21,59.43,0,0
2.24,10196,VERA,1973,132,10.06,20,0,0,0,0,12,0,35.51,54.43,0,0
2.45,9411,VERA,1955,131.8,0,0,0,0,0,31.8,0,0,20.508,79.492,0,0
2.24,10193,VERA,1973,127.7,10.19,15,0,12.54,0,0,12.7,0,22.12,55.15,0,0
2.46,668,VERA,1980,126.63,15.56,0,1.17,0.86,0,33,0,0,13.24,62.8,0,0
2.85,10441,VERA,1909,125.01,44.46,0,0,7.76,0,0,0,25,13.68,34.11,0,0
2.85,10440,VERA,1909,121.7,42.16,0,0,8.08,0,0,0,21.7,14.24,35.52,0,0
2.87,10439,VERA,1909,119.7,39.72,0,0,8.42,0,0,0,19.7,14.84,37.02,0,0
2.3,35582,SCIGLASS,1994,117.27,0,0,0,0,0,0,60,0,0,57.27,0,0
2.29,96641,SCIGLASS,1986,117.27,0,0,0,0,0,0,60,0,0,57.27,0,0
2.31,35581,SCIGLASS,1994,117.25,0,0,0,0,0,0,56.52,0,0,60.73,0,0
2.32,35580,SCIGLASS,1994,117.21,0,0,0,0,0,0,55.55,0,0,61.66,0,0
2.32,35579,SCIGLASS,1994,117.16,0,0,0,0,0,0,54.54,0,0,62.62,0,0
2.29,35584,SCIGLASS,1994,117.09,0,0,0,0,0,0,63.63,0,0,53.46,0,0
2.34,35578,SCIGLASS,1994,117.01,0,0,0,0,0,0,52.38,0,0,64.63,0,0
2.28,14977,SCIGLASS,1987,116.79,0,0,0,0,0,0,66.66,0,0,50.13,0,0
2.34,35577,SCIGLASS,1994,116.78,0,0,0,0,0,0,50,0,0,66.78,0,0
2.3,96640,SCIGLASS,1986,116.78,0,0,0,0,0,0,50,0,0,66.78,0,0
2.28,96642,SCIGLASS,1986,116.75,0,0,0,0,0,0,67,0,0,49.75,0,0
2.3,635,VERA,1959,116.47,9.43,0,0,0,0,0,25,0,10.54,71.5,0,0
2.35,35576,SCIGLASS,1994,116.44,0,0,0,0,0,0,47.36,0,0,69.08,0,0
2.35,35575,SCIGLASS,1994,115.97,0,0,0,0,0,0,44.44,0,0,71.53,0,0
2.34,35574,SCIGLASS,1994,115.68,0,0,0,0,0,0,42.85,0,0,72.83,0,0
2.27,14978,SCIGLASS,1987,115.64,0,1.72,0,0,0,0,67.24,0,0,46.68,0,0
2.75,357930,SCIGLASS,2003,115.47,0,0,21.19,0,0,0,32,0,0,62.28,0,0
2.54,7363,SCIGLASS,1984,115.38,0,0,0,0,11.92,0,34.83,0,0,68.63,0,0
2.33,466076,SCIGLASS,2012,115.1,0,0,0,0,0,0,40,0,0,75.1,0,0
2.34,96639,SCIGLASS,1986,115.1,0,0,0,0,0,0,40,0,0,75.1,0,0
2.5,7362,SCIGLASS,1984,115.01,0,0,0,0,9.11,0,34.83,0,0,71.07,0,0
2.45,7361,SCIGLASS,1984,114.63,0,0,0,0,6.19,0,34.83,0,0,73.61,0,0
2.5,459284,SCIGLASS,2011,114.62,17.46,0,0,0,0,0,30,0,0,56.61,0,10.55
2.3,120586,SCIGLASS,1994,114.51,0,0,0,0,0,0,37.5,0,0,77.01,0,0
2.41,7360,SCIGLASS,1984,114.23,0,0,0,0,3.15,0,34.83,0,0,76.25,0,0
2.27,377583,SCIGLASS,2006,114.01,0,0,0,0,0,0,32.01,0,0,72,0,10
2.31,120585,SCIGLASS,1994,113.87,0,0,0,0,0,0,35,0,0,78.87,0,0
2.35,164222,SCIGLASS,2000,113.87,0,0,0,0,0,0,35,0,0,78.87,0,0
2.34,357947,SCIGLASS,2003,113.87,0,0,0,0,0,0,35,0,0,78.87,0,0
2.37,7359,SCIGLASS,1984,113.83,0,0,0,0,0,0,34.83,0,0,79,0,0
2.38,160538,SCIGLASS,1983,113.83,11.17,0,0,0,0,0,31.8,0,0,70.86,0,0
2.4,10869,SCIGLASS,1980,113.75,18.46,0,0,0,0,0,30,0,0,65.29,0,0
2.4,156501,SCIGLASS,1993,113.67,10.17,0,0,0,0,0,31.57,0,0,71.93,0,0
2.4,189400,SCIGLASS,2000,113.67,10.17,0,0,0,0,0,31.57,0,0,71.93,0,0
2.4,399017,SCIGLASS,2002,113.67,10.17,0,0,0,0,0,31.57,0,0,71.93,0,0
2.4,53270,SCIGLASS,1989,113.67,10.17,0,0,0,0,0,31.57,0,0,71.93,0,0
2.7,357929,SCIGLASS,2003,113.6,0,0,18.45,0,0,0,28,0,0,67.15,0,0
2.35,22560,SCIGLASS,1991,113.6,0,0,0,0,0,0,34,0,0,79.6,0,0
2.41,184450,SCIGLASS,1995,113.54,9.03,0,0,0,0,1.86,35.43,0,3.77,63.45,0,0
2.52,197785,SCIGLASS,2002,113.48,20,0,1,1.8,0,1.23,29.25,0,0,55,0.2,5
2.41,377582,SCIGLASS,2006,113.45,0,0,0,0,0,0,33.45,0,0,80,0,0
2.47,466053,SCIGLASS,2012,113.44,0.67,0,0,0,0,0,33.22,0,0,79.55,0,0
2.35,35573,SCIGLASS,1994,113.41,0,0,0,0,0,0,33.33,0,0,80.08,0,0
2.35,408585,SCIGLASS,2006,113.41,0,0,0,0,0,0,33.33,0,0,80.08,0,0
2.34,77731,SCIGLASS,1983,113.4,0,0,0,0,0,0,33.3,0,0,80.1,0,0
2.34,151929,SCIGLASS,1999,113.32,0,0,0,0,0,0,33,0,0,80.32,0,0
2.35,187358,SCIGLASS,2001,113.32,0,0,0,0,0,0,33,0,0,80.32,0,0
2.33,140072,SCIGLASS,1998,113.23,0.23,0,0,0,0,0,32.64,0,0,80.36,0,0
2.33,158813,SCIGLASS,2000,113.23,0.23,0,0,0,0,0,32.64,0,0,80.36,0,0
2.71,152377,SCIGLASS,1998,113.16,0,0,0,0,0,0,26.67,0,0,63.33,0,23.16
2.44,78246,SCIGLASS,1988,113.13,40.45,0,0,0,0,0,25,0,0,47.68,0,0
2.65,152376,SCIGLASS,1998,113.11,0,0,0,0,0,0,27.27,0,0,66.38,0,19.46
2.23,14979,SCIGLASS,1987,113.08,0,5.55,0,0,0,0,68.51,0,0,39.02,0,0
3.18,450721,SCIGLASS,2011,113.07,20,0,0,0,0,0,27.87,0,0,65.2,0,0
2.58,152375,SCIGLASS,1998,113.03,0,0,0,0,0,0,27.91,0,0,69.78,0,15.34
2.84,14787,SCIGLASS,1984,112.93,18.74,0,0,0,0,0,0,50,0,44.19,0,0
2.48,164231,SCIGLASS,2000,112.9,0,0,0,8.95,0,0,32,0,0,71.95,0,0
2.5,152374,SCIGLASS,1998,112.88,0,0,0,0,0,0,28.57,0,0,73.55,0,10.76
2.36,187359,SCIGLASS,2001,112.85,5.85,0,0,0,0,0,30,0,0,77,0,0
2.42,152373,SCIGLASS,1998,112.69,0,0,0,0,0,0,29.27,0,0,77.73,0,5.69
3.99,397170,SCIGLASS,2007,112.66,0,20,49.51,0,0,0,0,18,0,25.15,0,0
2.39,466077,SCIGLASS,2012,112.49,0,0,0,0,0,0,30,0,12.1,70.39,0,0
2.42,82674,SCIGLASS,1996,112.44,0,0,0,0,0,0,28.61,0,0,78.38,0,5.45
2.31,120584,SCIGLASS,1994,112.43,0,0,0,0,0,0,30,0,0,82.43,0,0
2.33,152372,SCIGLASS,1998,112.43,0,0,0,0,0,0,30,0,0,82.43,0,0
2.33,164220,SCIGLASS,2000,112.43,0,0,0,0,0,0,30,0,0,82.43,0,0
2.32,188809,SCIGLASS,2001,112.43,0,0,0,0,0,0,30,0,0,82.43,0,0
2.32,357945,SCIGLASS,2003,112.43,0,0,0,0,0,0,30,0,0,82.43,0,0
2.28,77786,SCIGLASS,1987,112.43,0,0,0,0,0,0,30,0,0,82.43,0,0
2.3,77787,SCIGLASS,1987,112.43,0,0,0,0,0,0,30,0,0,82.43,0,0
2.34,82673,SCIGLASS,1996,112.43,0,0,0,0,0,0,30,0,0,82.43,0,0
2.77,14785,SCIGLASS,1984,112.41,26.16,0,0,0,0,0,0,40,0,46.25,0,0
2.49,82675,SCIGLASS,1996,112.38,0,0,0,0,0,0,27.29,0,0,74.78,0,10.31
2.76,33636,SCIGLASS,1993,112.34,26.42,0,0,0,0,0,0,39.53,0,46.39,0,0
2.5,197784,SCIGLASS,2002,112.25,15,1.64,4,0,0,0,22.94,5.67,2,61,0,0
2.78,14786,SCIGLASS,1984,112.24,18.41,0,0,0,0,0,0,45,0,48.83,0,0
2.55,82676,SCIGLASS,1996,112.23,0,0,0,0,0,0,26.07,0,0,71.86,0,14.3
2.43,401947,SCIGLASS,2002,112.19,3.99,0,0,2.29,0,0.16,26.17,5.17,12.98,61.43,0,0
2.36,187360,SCIGLASS,2001,112.17,11.23,0,0,0,0,0,27,0,0,73.94,0,0
2.47,197779,SCIGLASS,2002,112.07,13,1.62,4,0,0,0,24.64,2.81,0,66,0,0
2.62,82677,SCIGLASS,1996,112.07,0,0,0,0,0,0,25.02,0,0,69.27,0,17.78
2.27,112250,SCIGLASS,1990,112,0,10,0,0,0,0,60,0,0,42,0,0
2.26,83737,SCIGLASS,1994,112,0,10,0,0,0,0,60,0,0,42,0,0
2.34,35572,SCIGLASS,1994,111.97,0,0,0,0,0,0,28.57,0,0,83.4,0,0
2.65,82678,SCIGLASS,1996,111.94,0,0,0,0,0,0,24.38,0,0,67.93,0,19.63
2.51,197778,SCIGLASS,2002,111.89,15,1.67,2,0,0,0,23.34,2.88,2,61,0,4
2.48,197780,SCIGLASS,2002,111.84,12.71,1.59,3.92,0,0,0,24.14,2.76,1.96,64.76,0,0
2.39,175921,SCIGLASS,2001,111.82,17.97,0,0,0,0,0,25,0,0,68.85,0,0
2.42,364413,SCIGLASS,1984,111.79,36.5,7.69,0,0,0,0,22.36,2.34,0,42.9,0,0
3.27,357923,SCIGLASS,2003,111.77,0,0,42.18,0,0,0,20,0,0,49.59,0,0
2.66,357928,SCIGLASS,2003,111.72,0,0,15.74,0,0,0,24,0,0,71.98,0,0
2.53,197782,SCIGLASS,2002,111.71,14,1.66,4,0.2,0,0,21.38,5.47,3,60,0,2
2.47,164230,SCIGLASS,2000,111.7,0,0,0,7.64,0,0,28,0,0,76.06,0,0
3.53,397169,SCIGLASS,2007,111.7,0,15,49.79,0,0,0,0,18,0,28.91,0,0
2.21,14980,SCIGLASS,1987,111.66,0,7.69,0,0,0,0,69.23,0,0,34.74,0,0
2.7,152381,SCIGLASS,1998,111.61,0,0,0,0,0,0,23.11,0,0,65.75,0,22.75
2.64,152380,SCIGLASS,1998,111.59,0,0,0,0,0,0,23.63,0,0,68.86,0,19.1
2.4,160537,SCIGLASS,1983,111.57,10.75,0,0,0,0,0,25.4,0,7.21,68.21,0,0
2.71,30670,SCIGLASS,1987,111.55,22.94,0,0,0.08,0,0,0,37.82,0,50.71,0,0
2.56,152379,SCIGLASS,1998,111.54,0,0,0,0,0,0,24.19,0,0,72.31,0,15.04
2.28,634,VERA,1959,111.47,9.43,0,0,0,0,0,20,0,10.54,71.5,0,0
2.72,14784,SCIGLASS,1984,111.39,18.09,0,0,0,0,0,0,40,0,53.3,0,0
2.62,153150,SCIGLASS,1980,111.36,22,0,0,0,0,0,0,37.36,0,52,0,0
2.37,187361,SCIGLASS,2001,111.32,16.21,0,0,0,0,0,24,0,0,71.11,0,0
2.33,112239,SCIGLASS,1990,111.29,0,12.5,0,0,0,0,50,0,0,48.79,0,0
2.33,83735,SCIGLASS,1994,111.29,0,12.5,0,0,0,0,50,0,0,48.79,0,0
2.69,164241,SCIGLASS,2000,111.28,0,0,0,30.43,0,0,27.5,0,0,53.35,0,0
2.41,2303,SCIGLASS,1948,111.16,0,0,0,0,0,0,26,0,10.64,74.52,0,0
2.31,152378,SCIGLASS,1998,111.12,0,0,0,0,0,0,26,0,0,85.12,0,0
2.48,197783,SCIGLASS,2002,111.11,12,1.62,3,0,0,0,20.87,5.62,3,65,0,0
2.45,8372,SCIGLASS,1934,111.07,0,0,0,10.1,0,0,26.16,0,0,74.81,0,0
2.45,510,SCIGLASS,1934,111.02,0,0,0,10,0,0,26.02,0,0,75,0,0
2.71,6123,VERA,1990,110.98,10.41,0,0,33.25,0,6.14,0,4.84,0,56.34,0,0
2.33,68323,SCIGLASS,2006,110.92,7.09,0,0,0,0,0,24.3,0,0,79.53,0,0
2.55,14555,SCIGLASS,1986,110.9,0,0,0,0,0,0,25,0,29.23,56.67,0,0
2.69,152385,SCIGLASS,1998,110.82,0,0,0,0,0,0,21.34,0,0,66.93,0,22.55
2.63,152384,SCIGLASS,1998,110.8,0,0,0,0,0,0,21.82,0,0,70.06,0,18.92
3.65,397168,SCIGLASS,2007,110.79,0,10,50.08,0,0,0,0,18,0,32.71,0,0
2.33,119833,SCIGLASS,1998,110.77,0,0,0,0,0,0,25,0,0,85.77,0,0
2.3,120583,SCIGLASS,1994,110.77,0,0,0,0,0,0,25,0,0,85.77,0,0
2.29,151936,SCIGLASS,1999,110.77,0,0,0,0,0,0,25,0,0,85.77,0,0
2.3,164218,SCIGLASS,2000,110.77,0,0,0,0,0,0,25,0,0,85.77,0,0
2.3,357943,SCIGLASS,2003,110.77,0,0,0,0,0,0,25,0,0,85.77,0,0
2.3,9468,SCIGLASS,1972,110.77,0,0,0,0,0,0,25,0,0,85.77,0,0
2.55,152383,SCIGLASS,1998,110.76,0,0,0,0,0,0,22.32,0,0,73.55,0,14.89
2.38,377581,SCIGLASS,2006,110.66,0,0,0,0,0,0,24.66,0,0,86,0,0
2.51,197777,SCIGLASS,2002,110.53,13,1.67,3,0,0,0,19.52,4.34,5,62,0,2
2.66,164240,SCIGLASS,2000,110.49,0,0,0,27.2,0,0,25,0,0,58.29,0,0
2.53,426474,SCIGLASS,2005,110.45,10,19.03,3,14,0,0,35.48,3.94,0,25,0,0
2.3,152382,SCIGLASS,1998,110.42,0,0,0,0,0,0,24,0,0,86.42,0,0
2.66,14782,SCIGLASS,1984,110.39,17.77,0,0,0,0,0,0,35,0,57.62,0,0
2.44,164229,SCIGLASS,2000,110.35,0,0,0,6.39,0,0,24,0,0,79.96,0,0
2.38,187362,SCIGLASS,2001,110.32,20.82,0,0,0,0,0,21,0,0,68.5,0,0
2.67,14783,SCIGLASS,1984,110.28,9.39,0,0,0,0,0,0,40,0,60.89,0,0
2.35,112234,SCIGLASS,1990,110.22,0,14.28,0,0,0,0,42.85,0,0,53.09,0,0
2.34,83734,SCIGLASS,1994,110.22,0,14.28,0,0,0,0,42.85,0,0,53.09,0,0
2.46,401942,SCIGLASS,2002,110.19,4.99,0,0,4.19,0,0.17,21.78,2.15,12.98,63.93,0,0
3.17,357922,SCIGLASS,2003,110.13,0,0,37.72,0,0,0,17.5,0,0,54.91,0,0
3.11,437946,SCIGLASS,2009,110.13,0,29.5,31.74,0,0,0,15.3,0,8.72,24.87,0,0
2.19,14981,SCIGLASS,1987,110.12,0,10,0,0,0,0,70,0,0,30.12,0,0
3.55,178801,SCIGLASS,1999,110.1,6.25,0,47.01,0,0,0,0,20,0,36.84,0,0
2.62,30669,SCIGLASS,1987,110.09,18.45,0,0,0.13,0,0,0,33.27,0,58.24,0,0
2.29,35571,SCIGLASS,1994,110.08,0,0,0,0,0,0,23.07,0,0,87.01,0,0
2.31,440361,SCIGLASS,2010,110.05,0,0,0,0,0,0,22.96,0,0,87.09,0,0
2.68,152389,SCIGLASS,1998,110,0,0,0,0,0,0,19.56,0,0,68.09,0,22.35
2.62,152388,SCIGLASS,1998,109.99,0,0,0,0,0,0,20,0,0,71.24,0,18.75
2.45,511,SCIGLASS,1934,109.97,0,0,0,10,0,0,22.97,0,2,75,0,0
2.54,152387,SCIGLASS,1998,109.96,0,0,0,0,0,0,20.46,0,0,74.76,0,14.74
2.51,401941,SCIGLASS,2002,109.95,3.99,0,0,6.19,0,0.17,19.87,4.82,11.98,62.93,0,0
3.39,397167,SCIGLASS,2007,109.92,0,5,50.37,0,0,0,0,18,0,36.55,0,0
2.56,357927,SCIGLASS,2003,109.81,0,0,13.05,0,0,0,20,0,0,76.76,0,0
2.54,426470,SCIGLASS,2005,109.72,10,13.68,0,20,0,0,30.11,3.93,0,32,0,0
2.28,152386,SCIGLASS,1998,109.69,0,0,0,0,0,0,22,0,0,87.69,0,0
2.5,188587,SCIGLASS,1999,109.44,1.2,0,0,0,0,0,28.96,9.9,0.95,68.43,0,0
2.49,401949,SCIGLASS,2002,109.4,8.99,0,0,1.59,0,0.17,18.76,2.78,11.18,65.93,0,0
2.5,153152,SCIGLASS,1980,109.29,17,0,0,0,0,0,0,30.29,0,62,0,0
2.61,14819,SCIGLASS,1984,109.26,17.47,0,0,0,0,0,0,30,0,61.79,0,0
2.6,63285,SCIGLASS,1987,109.26,17.47,0,0,0,0,0,0,30,0,61.79,0,0
2.72,362154,SCIGLASS,1998,109.17,33.59,0,0,4.39,0,0,0,25,0,46.19,0,0
2.38,187363,SCIGLASS,2001,109.17,25.1,0,0,0,0,0,18,0,0,66.07,0,0
2.4,166713,SCIGLASS,1996,109.15,1,0,0,0,0,0,18.12,4.03,8,78,0,0
2.74,172842,SCIGLASS,1984,109.13,12.84,0,0,0,0,0,0,27.49,0,60.55,0,8.25
2.48,426469,SCIGLASS,2005,109.13,12,22.68,0,14,0,0,35.23,5.22,0,20,0,0
3.15,397166,SCIGLASS,2007,109.11,0,0,50.67,0,0,0,0,18,0,40.44,0,0
3.64,422684,SCIGLASS,2009,109.09,0,0,53.15,0,0,0,14.28,0,0,41.66,0,0
2.46,401946,SCIGLASS,2002,109.08,7.99,0,0,1.19,0,0.17,18.79,1.53,14.48,64.93,0,0
2.44,160536,SCIGLASS,1983,109.07,10.37,0,0,0,0,0,19.1,0,13.81,65.79,0,0
2.72,362155,SCIGLASS,1998,109.02,32.31,0,0,8.88,0,0,0,25,0,42.83,0,0
2.44,466078,SCIGLASS,2012,109.01,0,0,0,0,0,0,20,0,22.77,66.24,0,0
2.27,120582,SCIGLASS,1994,108.94,0,0,0,0,0,0,20,0,0,88.94,0,0
2.28,151930,SCIGLASS,1999,108.94,0,0,0,0,0,0,20,0,0,88.94,0,0
2.27,164217,SCIGLASS,2000,108.94,0,0,0,0,0,0,20,0,0,88.94,0,0
2.29,3418,SCIGLASS,1972,108.94,0,0,0,0,0,0,20,0,0,88.94,0,0
2.28,357941,SCIGLASS,2003,108.94,0,0,0,0,0,0,20,0,0,88.94,0,0
2.29,9651,SCIGLASS,1973,108.94,0,0,0,0,0,0,20,0,0,88.94,0,0
2.29,9651,SCIGLASS,1973,108.94,0,0,0,0,0,0,20,0,0,88.94,0,0
2.39,164228,SCIGLASS,2000,108.89,0,0,0,5.2,0,0,20,0,0,83.69,0,0
2.49,401950,SCIGLASS,2002,108.84,7.49,0,0,1.19,0,0.18,18.04,1.54,13.98,64.43,1.99,0
2.56,30668,SCIGLASS,1987,108.84,16.6,0,0,0.63,0,0,0,28.63,0,62.98,0,0
2.46,512,SCIGLASS,1934,108.79,0,0,0,10,0,0,19.79,0,4,75,0,0
2.62,164238,SCIGLASS,2000,108.77,0,0,0,21.06,0,0,20,0,0,67.71,0,0
3.78,421762,SCIGLASS,2008,108.73,0,31.24,57.12,0,0,0,0,0,0,20.37,0,0
2.42,401945,SCIGLASS,2002,108.73,5.29,0,0,1.19,0,0.17,18.65,0.82,17.48,65.13,0,0
3.73,310032,SCIGLASS,2003,108.72,0,33.33,54.17,0,0,0,0,0,0,21.22,0,0
2.36,430029,SCIGLASS,2008,108.65,4.86,0,0,0,0,2.63,22.96,0,0,78.2,0,0
2.36,440360,SCIGLASS,2010,108.65,4.86,0,0,0,0,2.63,22.96,0,0,78.2,0,0
2.36,460620,SCIGLASS,2012,108.65,4.86,0,0,0,0,2.63,22.96,0,0,78.2,0,0
2.38,413170,SCIGLASS,1991,108.62,27.39,0,0,0,0,0,16.66,0,0,64.57,0,0
2.37,421303,SCIGLASS,2007,108.62,27.39,0,0,0,0,0,16.66,0,0,64.57,0,0
2.37,2300,SCIGLASS,1948,108.56,0,0,0,0,0,0,19,0,6.82,82.74,0,0
3.09,357921,SCIGLASS,2003,108.55,0,0,33.07,0,0,0,15,0,0,60.48,0,0
2.38,187364,SCIGLASS,2001,108.54,27.13,0,0,0,0,0,16.5,0,0,64.91,0,0
2.6,189324,SCIGLASS,1996,108.43,34.86,0,0,0,0,0,0,22.22,0,51.35,0,0
2.59,375501,SCIGLASS,1989,108.43,34.86,0,0,0,0,0,0,22.22,0,51.35,0,0
2.64,40510,SCIGLASS,1989,108.43,34.86,0,0,0,0,0,0,22.22,0,51.35,0,0
2.14,14982,SCIGLASS,1987,108.43,0,12.5,0,0,0,0,70.83,0,0,25.1,0,0
2.46,151036,SCIGLASS,1974,108.42,20.53,0,0,0,0,0,7.4,14.3,0,66.19,0,0
2.36,142470,SCIGLASS,1980,108.38,21.13,4.5,0,0,0,0,18,0,0,64.75,0,0
2.37,460621,SCIGLASS,2012,108.35,4.84,0,0,0,0,3.13,22.96,0,0,77.42,0,0
2.44,519,SCIGLASS,1934,108.3,0,0,0,10,0,1.71,21.59,0,0,75,0,0
2.39,166712,SCIGLASS,1996,108.26,1,0,0,0,0,0,16.54,2.72,9.5,78.5,0,0
2.62,440431,SCIGLASS,2010,108.25,35.4,0,0,0,0,0,0,21.57,0,51.28,0,0
2.38,112218,SCIGLASS,1990,108.2,0,16.66,0,0,0,0,33.33,0,0,58.21,0,0
2.38,83733,SCIGLASS,1994,108.2,0,16.66,0,0,0,0,33.33,0,0,58.21,0,0
2.46,401948,SCIGLASS,2002,108.19,7.49,0,0,1.19,0,0.18,17.08,0.84,15.98,65.43,0,0
2.45,401107,SCIGLASS,2005,108.16,13,0,0,0,0,0,16.16,0,5,68,0,6
2.41,3749,SCIGLASS,1966,108.15,0,0,0,0,0,0,0,32.4,12.19,63.56,0,0
2.38,153019,SCIGLASS,1980,108.13,22,0,0,0,0,0,0,24.13,0,62,0,0
3.54,310031,SCIGLASS,2003,108.11,0,35.71,48.6,0,0,0,0,0,0,23.8,0,0
2.37,460622,SCIGLASS,2012,108.06,4.83,0,0,0,0,3.63,22.96,0,0,76.64,0,0
2.55,401951,SCIGLASS,2002,108.05,8.99,0,1.99,2.19,0,0.18,15.5,2.29,10.98,65.93,0,0
3.64,371702,SCIGLASS,2004,108.04,5.84,0,52.75,0,0,0,0,15,0,34.45,0,0
2.45,2302,SCIGLASS,1948,108.01,0,0,0,0,0,0,17.5,0,19.67,70.84,0,0
3.23,422680,SCIGLASS,2009,108.01,0,0,0,0,0,0,14.28,0,0,50.33,43.4,0
2.55,14781,SCIGLASS,1984,108,17.18,0,0,0,0,0,0,25,0,65.82,0,0
2.52,426471,SCIGLASS,2005,107.96,12,23.63,0,15,0,0,27.53,6.8,3,20,0,0
2.51,401943,SCIGLASS,2002,107.93,9.99,0,0,2.19,0,0.18,15.38,2.28,10.98,66.93,0,0
2.47,416458,SCIGLASS,2008,107.93,20,0,0,0,0,0,0,23.93,0,64,0,0
2.53,426472,SCIGLASS,2005,107.91,12,19.74,0,15,0,1.75,27.6,6.82,0,25,0,0
2.45,401944,SCIGLASS,2002,107.9,3.99,0,0,2.69,0,0.17,15.92,2.22,18.98,63.93,0,0
2.52,357926,SCIGLASS,2003,107.88,0,0,10.39,0,0,0,16,0,0,81.49,0,0
2.39,187365,SCIGLASS,2001,107.88,29.08,0,0,0,0,0,15,0,0,63.8,0,0
2.4,50545,SCIGLASS,1985,107.86,28.37,0,0,0,0,0,15,0,0,64.49,0,0
2.58,164237,SCIGLASS,2000,107.83,0,0,0,18.14,0,0,17.5,0,0,72.19,0,0
2.49,458695,SCIGLASS,2011,107.81,28.08,0,0,0,0,0,5.77,13.28,0,60.68,0,0
2.4,50544,SCIGLASS,1985,107.79,26.2,0,0,0,0,0,15,0,0,66.59,0,0
2.37,460623,SCIGLASS,2012,107.76,4.81,0,0,0,0,4.13,22.96,0,0,75.86,0,0
2.37,50543,SCIGLASS,1985,107.74,24.73,0,0,0,0,0,15,0,0,68.01,0,0
2.37,50542,SCIGLASS,1985,107.69,23.24,0,0,0,0,0,15,0,0,69.45,0,0
2.43,12245,SCIGLASS,1960,107.67,0,0,0,0,0,0,16.67,0,18.7,72.3,0,0
2.36,50541,SCIGLASS,1985,107.62,20.96,0,0,0,0,0,15,0,0,71.66,0,0
2.27,35570,SCIGLASS,1994,107.61,0,0,0,0,0,0,16.66,0,0,90.95,0,0
2.48,471663,SCIGLASS,2012,107.59,16.66,0,0,0,0,2,17,0,5.06,62.85,0,4.02
2.43,464881,SCIGLASS,2012,107.52,6.03,0,0,0.55,0,0,5.28,17.78,0.2,77.68,0,0
2.73,426476,SCIGLASS,2005,107.5,4,20.54,2.5,21.8,0,0,24.88,0.28,1,25,7.5,0
2.46,513,SCIGLASS,1934,107.5,0,0,0,10,0,0,16.5,0,6,75,0,0
2.35,50540,SCIGLASS,1985,107.49,17.06,0,0,0,0,0,15,0,0,75.43,0,0
2.37,460624,SCIGLASS,2012,107.48,4.8,0,0,0,0,4.63,22.96,0,0,75.09,0,0
2.41,187366,SCIGLASS,2001,107.43,30.35,0,0,0,0,0,14,0,0,63.08,0,0
2.18,112237,SCIGLASS,1990,107.42,0,16.66,0,0,0,0,66.66,0,0,24.1,0,0
2.18,83711,SCIGLASS,1994,107.42,0,16.66,0,0,0,0,66.66,0,0,24.1,0,0
2.22,112232,SCIGLASS,1990,107.39,0,20,0,0,0,0,60,0,0,27.39,0,0
2.22,83710,SCIGLASS,1994,107.39,0,20,0,0,0,0,60,0,0,27.39,0,0
2.34,50539,SCIGLASS,1985,107.35,13.02,0,0,0,0,0,15,0,0,79.33,0,0
2.36,164227,SCIGLASS,2000,107.32,0,0,0,4.07,0,0,16,0,0,87.25,0,0
2.39,166733,SCIGLASS,1996,107.3,1,0,0,0,0,0,14.92,1.38,11.5,78.5,0,0
2.5,461121,SCIGLASS,2002,107.26,23.3,0,0,4.5,0,0,8.66,8.1,3.3,59.4,0,0
2.31,50538,SCIGLASS,1985,107.22,8.84,0,0,0,0,0,15,0,0,83.38,0,0
2.39,184449,SCIGLASS,1995,107.22,11.42,0,0,0,0,2.48,17.98,0,4.2,71.14,0,0
2.16,112243,SCIGLASS,1990,107.22,0,14.28,0,0,0,0,71.42,0,0,21.52,0,0
2.16,83712,SCIGLASS,1994,107.22,0,14.28,0,0,0,0,71.42,0,0,21.52,0,0
2.38,460625,SCIGLASS,2012,107.2,4.78,0,0,0,0,5.13,22.96,0,0,74.33,0,0
2.41,667,VERA,1980,107.17,7.79,0,1.17,0.86,0,25,0,0,9.47,62.88,0,0
2.53,184459,SCIGLASS,1995,107.04,9.02,0,0,0,0,2.26,0,28.56,3.81,63.39,0,0
2.58,426465,SCIGLASS,2005,107.01,5,19.2,0,17,0,0,26.84,3.97,0,35,0,0
2.37,421304,SCIGLASS,2007,107.01,26.93,0,0,0,0,0,13.33,0,3.27,63.48,0,0
2.74,370843,SCIGLASS,2005,107,21.16,0,0,20.95,0,0,0,21.2,0,43.69,0,0
2.95,357920,SCIGLASS,2003,106.99,0,0,28.19,0,0,0,12.5,0,0,66.3,0,0
2.43,187367,SCIGLASS,2001,106.97,31.59,0,0,0,0,0,13,0,0,62.38,0,0
2.24,120581,SCIGLASS,1994,106.93,0,0,0,0,0,0,15,0,0,91.93,0,0
2.26,164215,SCIGLASS,2000,106.93,0,0,0,0,0,0,15,0,0,91.93,0,0
2.25,357938,SCIGLASS,2003,106.93,0,0,0,0,0,0,15,0,0,91.93,0,0
